lineblock_id,style,translation_text,model,prompt_version,status,error,review_status,source,edited_at,edited_by_user_id,created_at,updated_at
73d97610-fe18-4f86-b4ca-26a12e83c979,plain_english_chatgpt_v1,"""Didn't I say she was not guilty?""",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
d522f28c-9a54-4e06-91a8-a11041982814,plain_english_chatgpt_v1,"The Prince and Claudio also blamed her for a mistake you heard about. But Margaret was partly to blame too, even though she didn't mean to be.",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
d9aa28c2-2d79-4849-9631-41dbb31f12ac,plain_english_chatgpt_v1,I'm happy that everything turned out so well.,chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
02ab2cfb-b6ec-4db5-8555-bb7f784391bb,plain_english_chatgpt_v1,"""I feel the same way, because my beliefs make me confront young Claudio about it.""",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
3571b792-2727-42af-983e-7aa58061e8b0,plain_english_chatgpt_v1,"""Alright, daughter and all you ladies, go into a room by yourselves. When I call for you, come back wearing masks. The Prince and Claudio promised to visit me by now. You know what to do, brother: you need to be a father to your brother's daughter and give her to young Claudio.""",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
d156cec9-7330-4004-8676-c3abee9a4cf7,plain_english_chatgpt_v1,"""I will do it with a steady face.""",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
4b933b28-fff6-43ee-b597-421b44df1443,plain_english_chatgpt_v1,"Friar, I need your help, I believe.",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
4ae4313b-99f7-4f9a-b583-287cc4d9be28,plain_english_chatgpt_v1,"""What to do, sir?""",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
c56796f2-e0c2-434c-9484-566a1bb196ee,plain_english_chatgpt_v1,"""To tie me down or set me free -- it's one or the other. Mr. Leonato, it's true, your niece looks at me kindly.""",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
4e4fbd73-2b6a-4fee-a5ff-ba3f979ca5bc,plain_english_chatgpt_v1,That eye my daughter gave her is really true.,chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
d6aa3d81-1ce6-455d-8107-d07fc016fde2,plain_english_chatgpt_v1,"""I love her back with my eyes.""",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
e3b90f77-f91e-4626-bdaa-ae449588d91d,plain_english_chatgpt_v1,"""I think you saw that from me, from Claudio and the Prince. But what do you want?""",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
ee243922-8f6c-41f2-8a1f-4ee3c3da87b3,plain_english_chatgpt_v1,"Your answer is confusing, but I want to ask if you agree to let us get married today in a good and honorable way. I would like your help with this, kind friar.",chatgpt-chat,chat_v1,complete,,needs_review,ai,,,2026-01-19T03:34:37.676072+00:00,2026-01-19T03:34:37.676072+00:00
